=== svc_c0_0.st
  11 chr 17/10 hp 39/42 y1=128 | P1 scr= 34 wld=118 | P2 scr=128 wld=212 | cam  84/ 84 | P1scr-P2scr= -94 P1wld-P2wld= -94
  12 chr 17/10 hp 39/42 y1=128 | P1 scr= 23 wld= 97 | P2 scr=134 wld=208 | cam  74/ 74 | P1scr-P2scr=-111 P1wld-P2wld=-111
  13 chr 17/10 hp 39/42 y1=128 | P1 scr= 66 wld=142 | P2 scr=128 wld=204 | cam  76/ 76 | P1scr-P2scr= -62 P1wld-P2wld= -62
  14 chr 17/10 hp 39/42 y1= 93 | P1 scr= 47 wld=123 | P2 scr=128 wld=204 | cam  76/ 76 | P1scr-P2scr= -81 P1wld-P2wld= -81
  15 chr 17/10 hp 39/42 y1= 96 | P1 scr= 25 wld= 97 | P2 scr=132 wld=204 | cam  72/ 72 | P1scr-P2scr=-107 P1wld-P2wld=-107
  16 chr 17/10 hp 39/42 y1=128 | P1 scr= 16 wld= 72 | P2 scr=144 wld=200 | cam  56/ 56 | P1scr-P2scr=-128 P1wld-P2wld=-128
  17 chr 17/10 hp 39/42 y1=128 | P1 scr= 22 wld= 72 | P2 scr=135 wld=185 | cam  50/ 50 | P1scr-P2scr=-113 P1wld-P2wld=-113
  18 chr 17/10 hp 39/42 y1=128 | P1 scr= 70 wld=114 | P2 scr= 85 wld=129 | cam  44/ 44 | P1scr-P2scr= -15 P1wld-P2wld= -15
  19 chr 17/10 hp 39/42 y1=128 | P1 scr= 64 wld=108 | P2 scr= 81 wld=125 | cam  44/ 44 | P1scr-P2scr= -17 P1wld-P2wld= -17
  20 chr 17/10 hp 39/42 y1=128 | P1 scr= 64 wld=108 | P2 scr= 81 wld=125 | cam  44/ 44 | P1scr-P2scr= -17 P1wld-P2wld= -17
=== svc_f2.st
  00 chr  0/10 hp 42/48 y1=128 | P1 scr= 32 wld= 94 | P2 scr= 78 wld=140 | cam  62/ 62 | P1scr-P2scr= -46 P1wld-P2wld= -46
  01 chr  0/10 hp 39/48 y1=128 | P1 scr= 27 wld= 89 | P2 scr= 78 wld=140 | cam  62/ 62 | P1scr-P2scr= -51 P1wld-P2wld= -51
  02 chr  0/10 hp 39/48 y1=128 | P1 scr= 34 wld= 96 | P2 scr= 78 wld=140 | cam  62/ 62 | P1scr-P2scr= -44 P1wld-P2wld= -44
  03 chr  0/10 hp 39/48 y1=128 | P1 scr= 29 wld= 80 | P2 scr= 89 wld=140 | cam  51/ 51 | P1scr-P2scr= -60 P1wld-P2wld= -60
  04 chr  0/10 hp 34/48 y1=128 | P1 scr= 32 wld= 70 | P2 scr=127 wld=165 | cam  38/ 38 | P1scr-P2scr= -95 P1wld-P2wld= -95
  05 chr  0/10 hp 34/48 y1= 86 | P1 scr= 28 wld=108 | P2 scr=142 wld=222 | cam  80/ 80 | P1scr-P2scr=-114 P1wld-P2wld=-114
  06 chr  0/10 hp 34/48 y1=128 | P1 scr= 45 wld=139 | P2 scr=123 wld=217 | cam  94/ 94 | P1scr-P2scr= -78 P1wld-P2wld= -78
  07 chr  0/10 hp 34/48 y1=128 | P1 scr= 18 wld= 96 | P2 scr=139 wld=217 | cam  78/ 78 | P1scr-P2scr=-121 P1wld-P2wld=-121
  08 chr  0/10 hp 34/48 y1=128 | P1 scr= 22 wld= 92 | P2 scr=139 wld=209 | cam  70/ 70 | P1scr-P2scr=-117 P1wld-P2wld=-117
  09 chr  0/10 hp 34/48 y1=128 | P1 scr= 22 wld= 92 | P2 scr=139 wld=209 | cam  70/ 70 | P1scr-P2scr=-117 P1wld-P2wld=-117
  10 chr  0/10 hp 34/48 y1= 86 | P1 scr= 22 wld= 92 | P2 scr=139 wld=209 | cam  70/ 70 | P1scr-P2scr=-117 P1wld-P2wld=-117
  11 chr  0/10 hp 34/48 y1=128 | P1 scr= 22 wld= 92 | P2 scr=139 wld=209 | cam  70/ 70 | P1scr-P2scr=-117 P1wld-P2wld=-117
  12 chr  0/10 hp 34/48 y1=128 | P1 scr= 22 wld= 92 | P2 scr=139 wld=209 | cam  70/ 70 | P1scr-P2scr=-117 P1wld-P2wld=-117
  13 chr  0/10 hp 34/48 y1=128 | P1 scr= 58 wld=139 | P2 scr=128 wld=209 | cam  81/ 81 | P1scr-P2scr= -70 P1wld-P2wld= -70
  14 chr  0/10 hp 34/48 y1= 90 | P1 scr= 39 wld=120 | P2 scr=128 wld=209 | cam  81/ 81 | P1scr-P2scr= -89 P1wld-P2wld= -89
  15 chr  0/10 hp 34/48 y1= 94 | P1 scr= 20 wld= 93 | P2 scr=136 wld=209 | cam  73/ 73 | P1scr-P2scr=-116 P1wld-P2wld=-116
  16 chr  0/10 hp 34/48 y1=128 | P1 scr= 16 wld= 81 | P2 scr=144 wld=209 | cam  65/ 65 | P1scr-P2scr=-128 P1wld-P2wld=-128
  17 chr  0/10 hp 34/48 y1=128 | P1 scr= 16 wld= 81 | P2 scr=144 wld=209 | cam  65/ 65 | P1scr-P2scr=-128 P1wld-P2wld=-128
  18 chr  0/10 hp 34/48 y1=128 | P1 scr= 40 wld=121 | P2 scr=128 wld=209 | cam  81/ 81 | P1scr-P2scr= -88 P1wld-P2wld= -88
  19 chr  0/10 hp 34/48 y1=128 | P1 scr= 46 wld=127 | P2 scr=128 wld=209 | cam  81/ 81 | P1scr-P2scr= -82 P1wld-P2wld= -82
  20 chr  0/10 hp 34/48 y1=128 | P1 scr= 54 wld=135 | P2 scr=128 wld=209 | cam  81/ 81 | P1scr-P2scr= -74 P1wld-P2wld= -74
=== svc_fight.st
  00 chr  0/10 hp 48/48 y1=128 | P1 scr= 40 wld=120 | P2 scr=120 wld=200 | cam  80/ 80 | P1scr-P2scr= -80 P1wld-P2wld= -80
  01 chr  0/10 hp 48/48 y1=128 | P1 scr= 56 wld=136 | P2 scr=120 wld=200 | cam  80/ 80 | P1scr-P2scr= -64 P1wld-P2wld= -64
  02 chr  0/10 hp 48/48 y1=128 | P1 scr= 63 wld=143 | P2 scr=120 wld=200 | cam  80/ 80 | P1scr-P2scr= -57 P1wld-P2wld= -57
  03 chr  0/10 hp 48/48 y1=128 | P1 scr= 63 wld=143 | P2 scr=120 wld=200 | cam  80/ 80 | P1scr-P2scr= -57 P1wld-P2wld= -57
  04 chr  0/10 hp 48/41 y1=128 | P1 scr= 67 wld=147 | P2 scr=120 wld=200 | cam  80/ 80 | P1scr-P2scr= -53 P1wld-P2wld= -53
  05 chr  0/10 hp 48/41 y1=128 | P1 scr= 70 wld=167 | P2 scr=128 wld=225 | cam  97/ 97 | P1scr-P2scr= -58 P1wld-P2wld= -58
  06 chr  0/10 hp 48/41 y1=128 | P1 scr= 77 wld=174 | P2 scr=128 wld=225 | cam  97/ 97 | P1scr-P2scr= -51 P1wld-P2wld= -51
  07 chr  0/10 hp 48/41 y1=128 | P1 scr= 77 wld=174 | P2 scr=128 wld=225 | cam  97/ 97 | P1scr-P2scr= -51 P1wld-P2wld= -51
  08 chr  0/10 hp 41/41 y1=128 | P1 scr= 52 wld=149 | P2 scr=128 wld=225 | cam  97/ 97 | P1scr-P2scr= -76 P1wld-P2wld= -76
